10/06/2024 01:57:01; 127.0.0.1; sa; Login
10/06/2024 01:57:02; 127.0.0.1; sa; Message: sss
10/06/2024 02:19:26; 127.0.0.1; sa; Logout
10/06/2024 02:23:14; 127.0.0.1; ilham; Login
10/06/2024 02:23:36; 127.0.0.1; ilham; Message: \U0001f979\U0001f979\U0001f979\U0001f979\U0001f979
10/06/2024 02:29:45; 127.0.0.1; ilham; Logout
10/06/2024 02:31:11; 127.0.0.1; ilham; Login
10/06/2024 02:31:15; 127.0.0.1; qays; Login
10/06/2024 02:31:19; 127.0.0.1; sabah; Login
10/06/2024 02:31:45; 127.0.0.1; sabah; 127.0.0.1; ilham; Message: hi ilham qays cannot see our messages right?
10/06/2024 02:31:52; 127.0.0.1; ilham; Message: yes he cannot
10/06/2024 02:32:26; 127.0.0.1; ilham; Message: obs i send to the group by mistake\U0001f972\U0001f972\U0001f972
10/06/2024 02:32:40; 127.0.0.1; qays; Message: hah
